season,month,utci_mean,hdh_mean,scheme,G_total,G_within_lcz,G_within_sub,reduction_pp
Jan (Winter),01,13.396307,69.797935,Coast only,0.330862227295898,89.87691220292085,86.44995229786329,3.426959905057558
Jan (Winter),01,13.396307,69.797935,Mountain only,0.330862227295898,89.87691220292085,87.23110863542904,2.645803567491811
Jan (Winter),01,13.396307,69.797935,Coast+Mountain,0.330862227295898,89.87691220292085,83.77073299122613,6.106179211694723
Apr (Spring),04,20.282434,435.29388,Coast only,0.2509553558462706,90.55624788567152,86.99765963934054,3.5585882463309844
Apr (Spring),04,20.282434,435.29388,Mountain only,0.2509553558462706,90.55624788567152,85.85480124249224,4.701446643179281
Apr (Spring),04,20.282434,435.29388,Coast+Mountain,0.2509553558462706,90.55624788567152,82.50007044193353,8.056177443737994
Jul (Summer),07,31.04131,3789.653,Coast only,0.05515886771980616,92.10437885177673,88.56603910045176,3.538339751324969
Jul (Summer),07,31.04131,3789.653,Mountain only,0.05515886771980616,92.10437885177673,83.47771229361653,8.626666558160196
Jul (Summer),07,31.04131,3789.653,Coast+Mountain,0.05515886771980616,92.10437885177673,80.79171660265328,11.312662249123449
Oct (Autumn),10,22.14724,642.3559,Coast only,0.12063130219671125,90.76072259386682,87.2067446512992,3.553977942567613
Oct (Autumn),10,22.14724,642.3559,Mountain only,0.12063130219671125,90.76072259386682,85.55275489986626,5.207967694000558
Oct (Autumn),10,22.14724,642.3559,Coast+Mountain,0.12063130219671125,90.76072259386682,82.2892684070809,8.47145418678592
