subcat,lcz,n_grids,total_pop,utci_mean,tsd_mean,hdh_mean,letter,name,weighted_hdh,exposure_share
14,1,2,644.6594,31.948242,327.0,4465.675,4,LCZ 1E,2878839.2,4.971848e-05
12,1,413,115680.52,31.920908,326.16098,4444.7354,2,LCZ 1C,514169300.0,0.008879869
13,1,90,25675.158,31.914898,325.71378,4440.0645,3,LCZ 1D,113999360.0,0.0019688057
11,1,245,61128.594,31.885893,324.33768,4417.8306,1,LCZ 1B,270055780.0,0.0046639503
33,3,5,526.62415,31.875362,326.0,4411.3384,3,LCZ 3D,2323117.2,4.0120984e-05
10,1,1160,275326.94,31.852465,324.52664,4391.4355,0,LCZ 1A,1209080400.0,0.020881208
31,3,15,1435.6692,31.798254,324.53177,4353.951,1,LCZ 3B,6250833.5,0.00010795391
51,5,87,12224.176,31.799316,324.29846,4353.9365,1,LCZ 5B,53223284.0,0.00091918325
43,4,464,101889.04,31.800545,322.10196,4353.527,3,LCZ 4D,443576670.0,0.0076607116
41,4,1082,211181.64,31.789019,321.84543,4344.905,1,LCZ 4B,917564100.0,0.015846627
53,5,30,4250.7305,31.77462,322.64465,4333.445,3,LCZ 5D,18420306.0,0.0003181246
23,2,102,24625.832,31.757114,318.87808,4318.6567,3,LCZ 2D,106350510.0,0.0018367076
44,4,557,114887.18,31.725822,318.82727,4295.9907,4,LCZ 4E,493554270.0,0.008523841
42,4,4639,885942.25,31.710161,318.3434,4284.233,2,LCZ 4C,3795583000.0,0.06555094
103,10,39,9055.249,31.64252,316.81714,4238.3276,3,LCZ 10D,38379110.0,0.0006628196
40,4,9000,1584959.9,31.623734,314.62888,4217.9736,0,LCZ 4A,6685319000.0,0.11545761
52,5,969,122553.53,31.618334,314.7478,4214.8105,2,LCZ 5C,516539900.0,0.00892081
21,2,217,43784.74,31.617918,313.09732,4211.4863,1,LCZ 2B,184398830.0,0.003184627
50,5,4873,492484.56,31.599474,314.53214,4201.602,0,LCZ 5A,2069224200.0,0.035736166
54,5,165,20562.547,31.600227,313.73785,4200.889,4,LCZ 5E,86380984.0,0.0014918274
22,2,1794,357837.56,31.557688,309.22806,4164.9126,2,LCZ 2C,1490362100.0,0.025739033
24,2,488,95423.41,31.549334,309.31787,4158.9873,4,LCZ 2E,396864740.0,0.006853982
101,10,146,32085.42,31.53248,311.3054,4153.106,1,LCZ 10B,133254150.0,0.002301342
104,10,4,811.82355,31.4567,307.37592,4095.1445,4,LCZ 10E,3324534.8,5.7415786e-05
61,6,1058,66465.42,31.434542,307.2955,4077.8328,1,LCZ 6B,271034880.0,0.0046808594
102,10,315,65343.02,31.423016,306.4337,4070.1023,2,LCZ 10C,265952770.0,0.0045930897
83,8,284,32016.115,31.413038,306.55743,4064.8003,3,LCZ 8D,130139110.0,0.0022475442
81,8,900,104547.33,31.398188,305.55814,4052.6812,1,LCZ 8B,423697000.0,0.0073173833
20,2,9376,1501573.8,31.403976,303.21252,4048.3335,0,LCZ 2A,6078871600.0,0.10498407
30,3,5652,466717.38,31.327528,301.28366,3992.5708,0,LCZ 3A,1863402100.0,0.032181554
60,6,26805,1156984.2,31.311956,301.48886,3985.6743,0,LCZ 6A,4611362300.0,0.07963971
32,3,383,38625.066,31.311903,299.8112,3979.118,2,LCZ 3C,153693700.0,0.0026543397
80,8,60386,5027572.5,31.238369,298.07736,3930.4414,0,LCZ 8A,19760579000.0,0.34127155
34,3,177,18720.752,31.248943,295.97937,3929.8638,4,LCZ 3E,73570010.0,0.0012705777
84,8,1734,179637.14,31.235134,297.63678,3927.921,4,LCZ 8E,705600450.0,0.012185947
100,10,1497,235694.78,31.186382,295.17947,3890.1943,0,LCZ 10A,916898500.0,0.015835132
82,8,7392,775497.5,31.155287,293.24008,3865.601,2,LCZ 8C,2997764000.0,0.05177235
90,9,1954,34919.395,29.724882,190.1443,2824.5378,0,LCZ 9A,98631150.0,0.0017033918
91,9,6,187.77957,29.709211,191.18262,2810.4343,1,LCZ 9B,527742.1,9.1142765e-06
