lcz,name,type,n_grids,total_pop,utci_mean,utci_max,tsd_strong,hdh,pop_share,weighted_exposure,exposure_share
1,Compact high-rise,Built-up,1846,460499.1408042908,31.876028,41.478607,324.8949,4409.5425,0.03282011727303958,2030590523.5958805,0.03583300764110267
4,Open high-rise,Built-up,15042,2770416.608894348,31.68033,41.44861,316.9966,4260.906,0.19744965829964894,11804484091.19925,0.20830894447895065
5,Open mid-rise,Built-up,5892,627161.6365509033,31.624758,41.42859,315.4839,4219.955,0.04469827766627677,2646593932.96817,0.04670337003986637
2,Compact mid-rise,Built-up,11467,1930020.3659744263,31.444376,41.478607,304.8221,4078.7644,0.1375539911757534,7872098368.304518,0.13891572806291014
3,Compact low-rise,Built-up,5966,503711.66039276123,31.340067,41.44861,301.69696,4001.5667,0.03589990577835595,2015635781.6405616,0.03556910737340778
6,Open low-rise,Built-up,26870,1182086.4805631638,31.339525,41.4086,302.8181,4005.6157,0.08424818524351124,4734984192.0832,0.08355634617803645
10,Heavy industry,Built-up,1940,331959.8576717377,31.249027,41.288605,298.2665,3938.021,0.0236590266806996,1307264889.3715959,0.023068773455538972
8,Large low-rise,Built-up,67906,5867580.549026489,31.231663,41.318604,297.71448,3925.1382,0.41818684263278216,23031064458.295853,0.4064198562570883
15,Bare rock/paved,Natural,140,9852.461349487305,31.1369,41.55243,288.65,3836.2812,0.0007021922697912018,37796812.741387844,0.0006669850292480825
16,Bare soil/sand,Natural,149,4605.297871589661,30.806007,41.3786,277.66443,3598.899,0.00032822301461597845,16574001.562966706,0.00029247468544161707
12,Scattered trees,Natural,1619,88015.83013439178,30.758753,40.778595,275.9129,3587.32,0.006272953868815891,315740953.77441347,0.0055717525900653994
11,Dense trees,Natural,3829,182794.70456027985,30.645752,40.578613,270.6234,3509.491,0.01302791494915881,641516364.4326056,0.011320579172160478
14,Low plants,Natural,430,15620.796968460083,30.167793,40.8786,234.81395,3123.1245,0.0011133058522276055,48785693.90477963,0.0008609013595566111
17,Water,Natural,383,23290.717903137207,30.048737,40.17859,226.52742,3071.1045,0.001659946838595976,71528228.37859651,0.0012622296441657567
9,Sparsely built,Built-up,1849,33386.18706893921,29.691374,40.42859,187.27042,2800.538,0.0023794584567268596,93499288.43079832,0.0016499440324607925
