cumpop,L_utci_mean,L_tsd,L_hdh
0.0,0.0,0.0,0.0
3.135864155803451e-06,2.929356815229412e-06,1.5282021190162465e-06,1.9661943297472084e-06
7.059892596717227e-06,6.594974611609902e-06,3.4405007010152528e-06,4.4265695523195175e-06
1.1857642353658622e-05,1.1076776198024803e-05,5.77859029316118e-06,7.434770130838289e-06
1.5138041126655515e-05,1.4141149533382684e-05,7.3772285335436684e-06,9.491588011434153e-06
1.946482905068161e-05,1.818300372845088e-05,9.485804079392352e-06,1.2204494393713047e-05
2.3429105790084906e-05,2.188621933571341e-05,1.1417716883176014e-05,1.4690105395751637e-05
2.7193686925794315e-05,2.540288997527718e-05,1.3252311936712603e-05,1.7050506776406688e-05
3.323144554546652e-05,3.1043041615301056e-05,1.6194695617337194e-05,2.0836195879173387e-05
3.885161736317987e-05,3.629310596726298e-05,1.8933576530010008e-05,2.4360057057835257e-05
4.945598682409932e-05,4.619914156324561e-05,2.4101408768857794e-05,3.1009022085869816e-05
5.216429719206434e-05,4.872910046451763e-05,2.54212509041168e-05,3.2711081258317816e-05
5.958221528600592e-05,5.565852337433558e-05,2.9036228335097396e-05,3.73729308312484e-05
7.063622902949066e-05,6.598992162864445e-05,3.483594145076123e-05,4.4319913609518876e-05
7.411261963507839e-05,6.924002241375871e-05,3.673475502147429e-05,4.650467891088225e-05
7.67274165116306e-05,7.168461346970533e-05,3.816296386137709e-05,4.814796878654304e-05
7.961205444173646e-05,7.43814807280445e-05,3.973856058502334e-05,4.99608424166127e-05
8.170028289358496e-05,7.633377944843046e-05,4.087915638480077e-05,5.127320618137068e-05
8.792951693642545e-05,8.215753194067192e-05,4.428158018513019e-05,5.518801781645979e-05
9.080072580759688e-05,8.484184428216257e-05,4.584984192193533e-05,5.6992451847727554e-05
9.969526781279448e-05,9.315741098167534e-05,5.070806384832074e-05,6.258229745173997e-05
0.00010231867881865952,9.561005544462338e-05,5.214097774800963e-05,6.423100094541995e-05
0.00010498904232118114,9.810659611014468e-05,5.359953722322363e-05,6.59092121087337e-05
0.00010756666826730631,0.00010051643581508659,5.500744320446106e-05,6.752914161778728e-05
0.00011030578059103348,0.0001030772502125115,5.6503553464234706e-05,6.9250558524103e-05
0.00011436054293527729,0.00010686841763562359,5.871827517959407e-05,7.179880614067973e-05
0.00011640836132222606,0.00010878348579628751,5.9836798897050924e-05,7.308577387903122e-05
0.00011863239077231267,0.00011086334210355794,6.105156955449723e-05,7.448348286028017e-05
0.00012082266990388836,0.00011291163596329665,6.224790570038393e-05,7.585998118566265e-05
0.00012346851124987986,0.0001153859601280612,6.36930711100612e-05,7.752278120483871e-05
0.00012628023439793367,0.00011801541277472029,6.522884159052191e-05,7.928983096070743e-05
0.0001287658106347512,0.00012033986104726683,6.658646978164779e-05,8.085191109846981e-05
0.00013119838730180978,0.00012261474545749963,6.791514947022664e-05,8.238068323545388e-05
0.00013340464147811555,0.00012467797877657846,6.912021122700342e-05,8.376722120464332e-05
0.00013565896066897802,0.00012678616128627206,7.035152621946953e-05,8.518396601418156e-05
0.00014622957396604564,0.00013667153251495186,7.612522263522042e-05,9.182715194053956e-05
0.0001487722542894204,0.00013904938309050854,7.751404122662056e-05,9.34251195952788e-05
0.0001507816281413226,0.00014092849889060747,7.86115664392636e-05,9.468792656007917e-05
0.00015275094088158136,0.00014277015054843764,7.968721016876024e-05,9.592555680091995e-05
0.00016538059426069268,0.0001545810841843034,8.65855596209514e-05,0.00010386276282908549
0.00016976574451488347,0.00015868196621810564,8.898074007014768e-05,0.0001066186453531096
0.00017279195143528767,0.0001615119986847454,9.063366214369522e-05,0.0001085204891401161
0.00017990022469496878,0.00016815947674416305,9.451621944554863e-05,0.0001129877399563502
0.00018191657910731696,0.00017004512058851575,9.561755745842323e-05,0.00011425493390983419
0.00018413975228293475,0.0001721241761294768,9.683186041653245e-05,0.00011565210475858879
0.00018601885849939517,0.0001738814689190053,9.785823310862615e-05,0.00011683304399271862
0.00019046770910341134,0.0001780419219150331,0.00010028820685421241,0.00011962895950778793
0.00019523932121473108,0.00018250421334071085,0.00010289447377271969,0.00012262771705695986
0.00019723608204447236,0.00018437153376027015,0.00010398510971992505,0.0001238825972677533
0.00019929452100797323,0.00018629653401654002,0.00010510943442385721,0.00012517623959183583
0.000201485362379778,0.00018834535366917535,0.00010630607766681617,0.00012655309126155813
0.00020390455593500022,0.00019060772253040644,0.0001076274474649781,0.00012807345267555918
0.00021135395404424522,0.00019757421195449131,0.00011169632804495173,0.00013275508611426445
0.00021348610588273456,0.00019956814663425355,0.0001128609149125025,0.00013409505388039584
0.000215234247780684,0.0002012029648927583,0.00011381575455394645,0.0001351936875478441
0.0002175782561147085,0.0002033950224294179,0.00011509605798916924,0.000136666798212121
0.00022006648287376662,0.00020572194940358393,0.00011645513390242156,0.00013823054409164794
0.00022972386905054616,0.0002147532936381393,0.00012173002329506091,0.0001442998051772638
0.00023167327432698696,0.00021657632833737577,0.00012279479351615626,0.00014552492441427268
0.0002364430659544701,0.00022103691729243665,0.00012540006608166744,0.00014852253786591096
0.00024037043086157903,0.00022470969000355561,0.00012754520298624146,0.00015099072155075127
0.00024366392156687392,0.00022778967953160674,0.00012934411615675212,0.00015306054195635398
